
============================================================
  🤖 Telegram Alert Bot Started
============================================================
  Asset: BTC/USD
  Interval: 15s
  Spread threshold: 0.2%
  Change alert: 2.0% in 5min
  Cooldown: 300s
  Status updates: Every 30s
============================================================
  Press Ctrl+C to stop
============================================================

  [21:28:01] $87,390.19 | Spread: 0.194% | Alerts: 4 📤
  [21:28:18] $87,412.07 | Spread: 0.211% | Alerts: 4  📊 Spread alert sent! (0.211%)
  [21:28:34] $87,386.79 | Spread: 0.190% | Alerts: 5 📤
  [21:28:51] $87,383.21 | Spread: 0.180% | Alerts: 5
  [21:29:08] $87,403.50 | Spread: 0.177% | Alerts: 5 📤
  [21:29:25] $87,408.32 | Spread: 0.188% | Alerts: 5
  [21:29:41] $87,410.41 | Spread: 0.189% | Alerts: 5 📤
  [21:29:58] $87,419.28 | Spread: 0.177% | Alerts: 5
  [21:30:14] $87,381.41 | Spread: 0.166% | Alerts: 5 📤
  [21:30:31] $87,377.02 | Spread: 0.181% | Alerts: 5
  [21:30:47] $87,380.00 | Spread: 0.160% | Alerts: 5 📤
  [21:31:04] $87,375.46 | Spread: 0.171% | Alerts: 5
  [21:31:20] $87,385.75 | Spread: 0.194% | Alerts: 5 📤
  [21:31:37] $87,372.55 | Spread: 0.174% | Alerts: 5
  [21:31:54] $87,378.82 | Spread: 0.193% | Alerts: 5 📤
  [21:32:11] $87,399.90 | Spread: 0.179% | Alerts: 5
  [21:32:28] $87,417.30 | Spread: 0.218% | Alerts: 5 📤
  [21:32:45] $87,442.78 | Spread: 0.221% | Alerts: 5
  [21:33:01] $87,442.79 | Spread: 0.158% | Alerts: 5 📤
  [21:33:18] $87,397.29 | Spread: 0.183% | Alerts: 5
  [21:33:35] $87,381.90 | Spread: 0.181% | Alerts: 5 📤
  [21:33:52] $87,395.63 | Spread: 0.174% | Alerts: 5
  [21:34:08] $87,384.31 | Spread: 0.148% | Alerts: 5 📤
  [21:34:25] $87,366.39 | Spread: 0.166% | Alerts: 5
  [21:34:42] $87,361.33 | Spread: 0.147% | Alerts: 5 📤
  [21:34:58] $87,353.05 | Spread: 0.169% | Alerts: 5
  [21:35:15] $87,341.99 | Spread: 0.179% | Alerts: 5 📤
  [21:35:32] $87,344.84 | Spread: 0.172% | Alerts: 5
  [21:35:48] $87,343.09 | Spread: 0.186% | Alerts: 5 📤
  [21:36:05] $87,336.66 | Spread: 0.169% | Alerts: 5
  [21:36:22] $87,333.70 | Spread: 0.164% | Alerts: 5 📤
  [21:36:39] $87,273.49 | Spread: 0.196% | Alerts: 5
  [21:36:55] $87,285.50 | Spread: 0.173% | Alerts: 5 📤
  [21:37:12] $87,288.64 | Spread: 0.180% | Alerts: 5
  [21:37:29] $87,302.82 | Spread: 0.202% | Alerts: 5  📊 Spread alert sent! (0.202%)
 📤
  [21:37:46] $87,290.90 | Spread: 0.167% | Alerts: 6
  [21:38:02] $87,273.13 | Spread: 0.165% | Alerts: 6 📤
  [21:38:20] $87,274.07 | Spread: 0.175% | Alerts: 6
  [21:38:36] $87,255.99 | Spread: 0.172% | Alerts: 6 📤
  [21:38:53] $87,262.94 | Spread: 0.165% | Alerts: 6
  [21:39:10] $87,262.88 | Spread: 0.173% | Alerts: 6 📤
  [21:39:26] $87,266.39 | Spread: 0.165% | Alerts: 6
  [21:39:43] $87,264.28 | Spread: 0.170% | Alerts: 6 📤
  [21:40:00] $87,249.85 | Spread: 0.173% | Alerts: 6
  [21:40:17] $87,242.78 | Spread: 0.142% | Alerts: 6 📤
  [21:40:34] $87,234.54 | Spread: 0.184% | Alerts: 6
  [21:40:51] $87,211.07 | Spread: 0.140% | Alerts: 6 📤
  [21:41:08] $87,200.12 | Spread: 0.208% | Alerts: 6
  [21:41:24] $87,231.79 | Spread: 0.222% | Alerts: 6 📤
  [21:41:41] $87,258.71 | Spread: 0.200% | Alerts: 6
  [21:41:58] $87,246.99 | Spread: 0.135% | Alerts: 6 📤
  [21:42:15] $87,236.12 | Spread: 0.207% | Alerts: 6
  [21:42:31] $87,225.22 | Spread: 0.223% | Alerts: 6  📊 Spread alert sent! (0.223%)
 📤
  [21:42:48] $87,266.05 | Spread: 0.238% | Alerts: 7
  [21:43:05] $87,288.00 | Spread: 0.165% | Alerts: 7 📤
  [21:43:22] $87,282.56 | Spread: 0.177% | Alerts: 7
  [21:43:38] $87,253.38 | Spread: 0.240% | Alerts: 7 📤
  [21:43:55] $87,323.02 | Spread: 0.225% | Alerts: 7
  [21:44:11] $87,337.34 | Spread: 0.188% | Alerts: 7 📤
  [21:44:28] $87,347.99 | Spread: 0.188% | Alerts: 7
  [21:44:45] $87,344.55 | Spread: 0.184% | Alerts: 7 📤
